length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
3445,510,3,0,2,0,0,0.09257109692396982,0.0,0.04933255948926291,0.5714285714285714,1,0
213,18,2,0,0,0,0,0.16355140186915887,0.0,0.1261682242990654,0.9473684210526315,0,0
1787,432,0,0,1,1,0,0.0732662192393736,0.0,0.024049217002237135,0.3741339491916859,0,0
364,44,0,0,0,0,0,0.010958904109589041,0.0,0.0,0.9333333333333333,0,1
1530,204,0,0,11,2,0,0.08360548661005879,0.0,0.014369693011103853,0.6682926829268293,3,1
383,65,0,0,0,0,0,0.03125,0.0,0.0,0.7121212121212122,1,0
1936,501,0,0,0,0,0,0.08828084667010841,0.0,0.04646360351058337,0.30876494023904383,0,0
1742,314,0,0,0,0,0,0.0189328743545611,0.0,0.009753298909925417,0.5079365079365079,16,1
1285,207,1,0,0,0,0,0.061430793157076204,0.0,0.0023328149300155523,0.6730769230769231,0,0
974,220,0,0,0,0,0,0.04205128205128205,0.0,0.024615384615384615,0.45701357466063347,0,0
1485,224,0,0,6,0,0,0.06662180349932706,0.0,0.04172274562584118,0.6444444444444445,3,1
2599,394,1,0,0,1,3,0.04730769230769231,0.0,0.013461538461538462,0.6126582278481013,10,1
554,69,1,0,0,0,0,0.14954954954954955,0.0,0.0,0.8571428571428571,0,0
1719,329,0,0,0,0,0,0.04127906976744186,0.0,0.03255813953488372,0.4727272727272727,0,0
918,194,0,0,0,0,0,0.05223068552774755,0.0,0.026115342763873776,0.4564102564102564,0,0
751,165,0,0,0,0,0,0.05053191489361702,0.0,0.09175531914893617,0.536144578313253,0,0
344,57,1,0,0,0,0,0.06956521739130435,0.0,0.002898550724637681,0.8275862068965517,0,0
4525,1010,0,0,0,0,0,0.07136544410075121,0.0,0.04927087936367654,0.27794263105835804,8,0
2162,338,0,0,0,1,0,0.022653721682847898,0.0,0.006934812760055479,0.528023598820059,0,0
990,237,0,0,2,0,0,0.03834510595358224,0.0,0.004036326942482341,0.5546218487394958,0,0
3123,602,0,0,0,3,0,0.027848911651728554,0.0,0.02464788732394366,0.4892205638474295,0,0
1687,224,2,0,0,3,0,0.1481042654028436,0.0,0.030213270142180094,0.6933333333333334,1,0
2504,387,2,0,2,1,2,0.08782435129740519,0.0,0.00718562874251497,0.5747422680412371,2,1
