length,num_words,num_urls,suspicious_words,special_char_ratio,label
9488,1764,0,2,0.0353040362525029,1
1724,303,0,1,0.03072463768115942,0
600,98,1,0,0.17803660565723795,0
277,63,0,0,0.09352517985611511,0
1615,462,0,0,0.15965346534653466,1
1125,283,0,0,0.13232682060390763,0
361,46,1,0,0.19889502762430938,0
1091,140,5,0,0.19047619047619047,0
1073,196,1,0,0.1452513966480447,0
1531,317,0,0,0.07180156657963446,0
961,213,0,0,0.036382536382536385,0
1241,313,0,0,0.11996779388083736,1
1270,157,4,0,0.25885129819040126,0
3205,602,0,0,0.03212726138490331,0
1116,180,1,0,0.1692032229185318,0
151,30,0,0,0.02631578947368421,0
3548,708,0,0,0.05973513665821358,0
929,174,0,0,0.02795698924731183,1
1210,247,0,0,0.061932287365813375,0
240,24,0,0,0.004149377593360996,1
591,87,2,0,0.09628378378378379,0
2054,251,1,0,0.2569343065693431,0
1283,226,1,0,0.08099688473520249,0
2307,400,0,0,0.015164644714038129,0
197,23,1,0,0.11616161616161616,0
639,137,0,0,0.0609375,1
1618,281,0,0,0.03767757875231625,1
10260,2118,0,0,0.04872819413312543,0
1276,282,0,0,0.03837118245888802,1
358,71,0,0,0.04456824512534819,0
2384,373,3,0,0.09979035639412998,0
917,204,0,0,0.06862745098039216,1
7124,1234,0,0,0.058105263157894736,0
861,103,2,0,0.17865429234338748,0
1440,301,0,0,0.033310201249132546,1
704,159,0,0,0.05673758865248227,1
509,57,0,0,0.34901960784313724,1
893,223,0,0,0.15100671140939598,0
5,1,0,0,0.0,1
18091,2612,0,0,0.11485739553393765,1
1222,228,0,0,0.019623875715453803,0
697,91,2,0,0.15329512893982808,1
1583,287,0,3,0.02462121212121212,1
5176,1116,0,0,0.04210932972764149,1
2717,532,0,0,0.04562178072111847,0
5,1,0,0,0.0,0
509,97,0,0,0.050980392156862744,0
3,1,0,0,0.0,1
641,146,0,2,0.0514018691588785,1
2433,457,0,0,0.03204601479046836,0
638,137,0,0,0.06103286384976526,1
5,1,0,0,0.0,1
5161,1115,0,0,0.05637349864393646,0
1485,254,0,0,0.039030955585464336,0
122,24,0,0,0.04878048780487805,1
2978,492,0,3,0.019133937562940583,1
2410,268,0,0,0.013272501036914143,1
1712,265,0,0,0.013426736719206071,0
400,51,1,0,0.20199501246882792,0
1081,186,1,0,0.08595194085027727,0
231,43,0,0,0.15517241379310345,1
925,173,0,0,0.032397408207343416,1
1804,519,0,1,0.15457063711911356,1
740,121,2,0,0.09446693657219973,0
86,18,0,0,0.04597701149425287,1
575,102,0,0,0.057291666666666664,1
2205,366,2,0,0.13825929283771532,0
230,21,0,0,0.0,1
1469,238,0,0,0.02585034013605442,1
1048,143,4,0,0.09342230695900858,0
1629,296,0,2,0.025153374233128835,0
636,137,0,0,0.061224489795918366,1
3238,555,0,0,0.031491200987959246,0
65,12,0,0,0.015151515151515152,0
1601,296,0,0,0.06554307116104868,0
1153,272,0,0,0.07279029462738301,0
2096,342,2,0,0.06056270863137816,0
581,120,0,2,0.03951890034364261,0
4649,876,0,6,0.024946236559139787,0
1856,295,2,0,0.14808831448572968,0
44,10,0,0,0.044444444444444446,0
55,11,0,0,0.03571428571428571,0
3262,565,5,0,0.09561752988047809,0
244,48,0,0,0.0326530612244898,1
3628,719,0,0,0.061724993111049876,0
387,83,0,2,0.05154639175257732,1
2603,479,0,0,0.03379416282642089,0
1115,203,0,0,0.03046594982078853,0
713,147,0,0,0.047619047619047616,1
592,73,2,0,0.1905564924114671,0
5,1,0,0,0.0,1
558,131,0,0,0.05366726296958855,0
4237,887,0,0,0.056394525719679095,0
211,23,1,0,0.13679245283018868,0
551,102,0,0,0.03804347826086957,0
5,1,0,0,0.0,1
2073,446,0,0,0.08389585342333655,0
3227,611,0,0,0.0563816604708798,0
639,137,0,0,0.0609375,1
91,18,0,0,0.06521739130434782,1
5,1,0,0,0.0,1
541,95,0,0,0.02214022140221402,0
672,142,0,0,0.04309063893016345,1
1655,238,1,0,0.10748792270531402,0
121,31,0,0,0.05737704918032787,1
84,23,0,0,0.09411764705882353,0
666,129,0,0,0.16041979010494753,0
1156,173,1,0,0.08210890233362143,0
7565,1466,0,0,0.04070843246100978,1
375,97,0,0,0.08776595744680851,1
2719,525,0,4,0.03602941176470588,1
1613,332,0,1,0.020446096654275093,1
16351,2738,0,4,0.055956457925636006,1
791,166,0,0,0.03282828282828283,0
267,52,0,0,0.026119402985074626,1
127,31,0,0,0.078125,0
1561,251,1,0,0.06274007682458387,0
966,146,0,0,0.022750775594622543,1
1334,274,0,0,0.051685393258426963,1
283,63,0,0,0.09154929577464789,0
491,145,0,0,0.1524390243902439,0
529,60,2,0,0.2641509433962264,0
283,65,0,0,0.08098591549295775,1
560,126,0,0,0.06951871657754011,1
907,189,0,0,0.0671806167400881,1
449,40,1,0,0.3244444444444444,0
16999,2409,29,3,0.11794117647058823,0
3586,917,0,0,0.057150822414273765,1
4428,886,0,0,0.03273876721607586,0
201,27,1,0,0.08415841584158416,0
105,21,0,0,0.02830188679245283,0
2529,425,0,1,0.041501976284584984,1
292,69,0,0,0.06825938566552901,0
392,91,0,0,0.061068702290076333,0
317,55,0,0,0.07547169811320754,0
545,62,3,0,0.09706959706959707,0
916,144,1,0,0.1395856052344602,0
782,113,1,0,0.17113665389527458,0
620,93,1,0,0.05958132045088567,0
720,91,2,0,0.21359223300970873,0
1110,173,1,0,0.050405040504050404,0
305,40,1,0,0.10457516339869281,0
896,91,0,0,0.09698996655518395,1
2454,620,0,2,0.07657841140529531,1
1101,176,2,0,0.0852994555353902,0
585,131,0,0,0.06313993174061433,0
3079,719,0,0,0.07272727272727272,0
478,105,0,0,0.027139874739039668,0
254,44,0,0,0.0196078431372549,1
5,1,0,0,0.0,0
356,74,0,0,0.058823529411764705,0
596,54,2,0,0.288107202680067,0
1305,169,4,0,0.08039816232771822,0
893,229,0,0,0.1342281879194631,1
856,180,0,0,0.03267211201866978,1
